title,authors,abstract,published,url
"Design of F-16 Airfoil Mock-ups for Supersonic Wind Tunnel: Study, Production, Testing and Validation","N. Eddegdag, A. Naamane, M. Radouani, M. El Gadari","This research paper presents a comprehensive investigation into the behavior
of viscous supersonic laminar flow and the Shock Wave- Laminar Boundary Layer
Interaction (SWBLI) around the F-16 laminar NACA 6-series airfoil NACA 64A204.
The study aims to establish and compare different methods for accurately
describing these complex phenomena, which are of significant importance in the
development of advanced aerospace technologies. To achieve this objective, a
unique approach was adopted, involving the design and production of a mock-up
F-16 airfoil equipped with pressure taps for use in the supersonic burst wind
tunnel AF300. The mock-up was then experimentally tested, and the obtained data
were analysed using numerical simulations with Ansys Fluent and a theoretical
model based on a previously established analytical SWBLI model. The results
obtained from the experimental, numerical, and analytical analyses validate the
designed NACA 64A204 mock-up to a great extent. The study provides valuable
insights into the physics of viscous supersonic laminar flow and SWBLI,
contributing to a better understanding of these phenomena. The findings of this
study will have important applications in the design of high-speed aircraft and
other advanced aerospace technologies.",2022-12-30 19:41:41+00:00,http://arxiv.org/pdf/2301.01135v3
Killing Horizons Decohere Quantum Superpositions,"Daine L. Danielson, Gautam Satishchandran, Robert M. Wald","We recently showed that if a massive (or charged) body is put in a quantum
spatial superposition, the mere presence of a black hole in its vicinity will
eventually decohere the superposition. In this paper we show that, more
generally, decoherence of stationary superpositions will occur in any spacetime
with a Killing horizon. This occurs because, in effect, the long-range field of
the body is registered on the Killing horizon which, we show, necessitates a
flux of ""soft horizon gravitons/photons"" through the horizon. The Killing
horizon thereby harvests ""which path"" information of quantum superpositions and
will decohere any quantum superposition in a finite time. It is particularly
instructive to analyze the case of a uniformly accelerating body in a quantum
superposition in flat spacetime. As we show, from the Rindler perspective the
superposition is decohered by ""soft gravitons/photons"" that propagate through
the Rindler horizon with negligible (Rindler) energy. We show that this
decoherence effect is distinct from--and larger than--the decoherence resulting
from the presence of Unruh radiation. We further show that from the inertial
perspective, the decoherence is due to the radiation of high frequency
(inertial) gravitons/photons to null infinity. (The notion of gravitons/photons
that propagate through the Rindler horizon is the same notion as that of
gravitons/photons that propagate to null infinity.) We also analyze the
decoherence of a spatial superposition due to the presence of a cosmological
horizon in de Sitter spacetime. We provide estimates of the decoherence time
for such quantum superpositions in both the Rindler and cosmological cases.
Although we explicitly treat the case of spacetime dimension $d=4$, our
analysis applies to any dimension $d \geq 4$.",2022-12-30 19:00:06+00:00,http://arxiv.org/pdf/2301.00026v2
Subharmonic fidelity revival in a driven PXP model,"HaRu K. Park, SungBin Lee","The PXP model hosts a special set of nonergodic states, referred to as
quantum many-body scars. One of the consequences of quantum scarring is the
periodic revival of the wave function fidelity. It has been reported that
quantum fidelity revival occurs in the PXP model for certain product states,
and periodic driving of chemical potential can enhance the magnitude of quantum
revival, and can even change the frequencies of revival showing the subharmonic
response. Although the effect of the periodic driving in the PXP model has been
studied in the limit of certain perturbative regimes, the general mechanism of
such enhanced revival and frequency change has been barely studied. In this
work, we investigate how periodic driving in the PXP model can systematically
control the fidelity revival. Particularly, focusing on the product state so
called a Neel state, we analyze the condition of driving to enhance the
magnitude of revival or change the frequencies of revival. To clarify the
reason of such control, we consider the similarities between the PXP model and
the free spin-1/2 model in graph theoretical analysis, and show that the
quantum fidelity feature in the PXP model is well explained by the free
spin-1/2 model. In addition, under certain limit of the driving parameters,
analytic approach to explain the main features of the fidelity revival is also
performed. Our results give an insight of the scarring nature of the
periodically driven PXP model and pave the way to understand their
(sub-)harmonic responses and controls.",2022-12-30 19:00:01+00:00,http://arxiv.org/pdf/2301.00020v1
Online Statistical Inference for Contextual Bandits via Stochastic Gradient Descent,"Xi Chen, Zehua Lai, He Li, Yichen Zhang","With the fast development of big data, it has been easier than before to
learn the optimal decision rule by updating the decision rule recursively and
making online decisions. We study the online statistical inference of model
parameters in a contextual bandit framework of sequential decision-making. We
propose a general framework for online and adaptive data collection environment
that can update decision rules via weighted stochastic gradient descent. We
allow different weighting schemes of the stochastic gradient and establish the
asymptotic normality of the parameter estimator. Our proposed estimator
significantly improves the asymptotic efficiency over the previous averaged SGD
approach via inverse probability weights. We also conduct an optimality
analysis on the weights in a linear regression setting. We provide a Bahadur
representation of the proposed estimator and show that the remainder term in
the Bahadur representation entails a slower convergence rate compared to
classical SGD due to the adaptive data collection.",2022-12-30 18:57:08+00:00,http://arxiv.org/pdf/2212.14883v1
Pseudogap effects in the strongly correlated regime of the two-dimensional Fermi gas,"S. Ramachandran, S. Jensen, Y. Alhassid","The two-species Fermi gas with attractive short-range interactions in two
spatial dimensions provides a paradigmatic system for the understanding of
strongly correlated Fermi superfluids in two dimensions. It is known to exhibit
a BEC-BCS crossover as a function of $\ln(k_F a)$, where $a$ is the scattering
length, and to undergo a Berezinskii-Kosterlitz-Thouless superfluid transition
below a critical temperature $T_c$. However, the extent of a pseudogap regime
in the strongly correlated regime of $\ln(k_F a)\sim 1$, in which pairing
correlations persist above $T_c$, remains largely unexplored with controlled
theoretical methods. Here we use finite-temperature auxiliary-field quantum
Monte Carlo (AFMC) methods on discrete lattices in the canonical ensemble
formalism to calculate thermodynamical observables in the strongly correlated
regime. We extrapolate to continuous time and the continuum limit to eliminate
systematic errors and present results for particle numbers ranging from $N=42$
to $N=162$. We estimate $T_c$ by a finite-size scaling analysis, and observe
clear pseudogap signatures above $T_c$ and below a temperature $T^*$ in both
the spin susceptibility and free-energy gap. We also present results for the
contact, a fundamental thermodynamic property of quantum many-body systems with
short-range interactions.",2022-12-30 18:52:38+00:00,http://arxiv.org/pdf/2212.14880v1
Reliable and Distributed Network Monitoring via In-band Network Telemetry,"Goksel Simsek, Doğanalp Ergenç, Ertan Onur","Traditional network monitoring solutions usually lack of scalability due to
their centralized nature collecting heartbeats from all network components via
a single controller. As a solution, In-Band Network Telemetry (INT) framework
has been recently proposed to collect network telemetry information more
autonomously and distributedly by employing programmable switches. However, it
imposes further challenges to (i) find suitable INT paths to optimize the
control overhead and information freshness and (ii) ensure reliable delivery of
control information over multi-hop INT paths. In this work, we propose a
monitoring scheme, reliable Graph Partitioned INT (GPINT), by extending our
previous work and integrating shared queue ring (SQR) as a reliability feature
against potential failures in network telemetry collection due to network
congestion and link degradation that may cause loss of the visibility of the
network. We implement our proposal in a recent data plane programming language
P4, and compare it with traditional Simple Network Management Protocol (SNMP)
and also another state-of-the-art study employing Euler's method for INT path
generation. Our analysis first shows the importance of having a data recovery
mechanism against packet losses under different network conditions. Then, our
emulation results indicate that GPINT with reliability extension performs much
better than its opponent in terms of telemetry collection latency and overhead
monitoring scheme even under a high amount of packet losses.",2022-12-30 18:45:35+00:00,http://arxiv.org/pdf/2212.14876v1
Comparative Analysis of Clustering Techniques for Personalized Food Kit Distribution,"Jude Francis, Rowan K Baby, Jacob Abraham, Ajmal P. S","The Government of Kerala had increased the frequency of supply of free food
kits owing to the pandemic, however, these items were static and not indicative
of the personal preferences of the consumers. This paper conducts a comparative
analysis of various clustering techniques on a scaled-down version of a
real-world dataset obtained through a conjoint analysis-based survey.
Clustering carried out by centroid-based methods such as k means is analyzed
and the results are plotted along with SVD, and finally, a conclusion is
reached as to which among the two is better. Once the clusters have been
formulated, commodities are also decided upon for each cluster. Also,
clustering is further enhanced by reassignment, based on a specific cluster
loss threshold. Thus, the most efficacious clustering technique for designing a
food kit tailored to the needs of individuals is finally obtained.",2022-12-30 18:42:37+00:00,http://arxiv.org/pdf/2212.14874v1
"Normalized solutions to a class of $(2,q)$-Laplacian equations","Laura Baldelli, Tao Yang","This paper concerns the existence of normalized solutions to a class of
$(2,q)$-Laplacian equations in all the possible cases according to the value of
$p$ with respect to the critical exponent $2(1+2/N)$. In the $L^2$-subcritical
case, we study a global minimization problem and obtain a ground state
solution. While in the $L^2$-critical case, we prove several nonexistence
results, extended also in the $L^q$-critical case. At last, we derive a ground
state and infinitely many radial solutions in the $L^2$-supercritical case.
Compared with the classical Schr\""{o}dinger equation, the $(2,q)$-Laplacian
equation possesses a quasi-linear term, which brings in some new difficulties
and requires a more subtle analysis technique. Moreover, the vector field
$\vec{a}(\xi)=|\xi|^{q-2}\xi$ corresponding to the $q$-Laplacian is not
strictly monotone when $q<2$, so we shall consider separately the case $q<2$
and the case $q>2$.",2022-12-30 18:39:51+00:00,http://arxiv.org/pdf/2212.14873v3
Depth-First Search performance in a random digraph with geometric outdegree distribution,"Philippe Jacquet, Svante Janson","We present an analysis of the depth-first search algorithm in a random
digraph model with independent outdegrees having a geometric distribution.
  The results include asymptotic results for the depth profile of vertices, the
height (maximum depth) and average depth, the number of trees in the forest,
the size of the largest and second-largest trees, and the numbers of arcs of
different types in the depth-first jungle. Most results are first order. For
the height we show an asymptotic normal distribution.
  This analysis proposed by Donald Knuth in his next to appear volume of The
Art of Computer Programming gives interesting insight in one of the most
elegant and efficient algorithm for graph analysis due to Tarjan.",2022-12-30 18:28:54+00:00,http://arxiv.org/pdf/2212.14865v1
A class of sparse Johnson--Lindenstrauss transforms and analysis of their extreme singular values,"Kwassi Joseph Dzahini, Stefan M. Wild","The Johnson--Lindenstrauss (JL) lemma is a powerful tool for dimensionality
reduction in modern algorithm design. The lemma states that any set of
high-dimensional points in a Euclidean space can be flattened to lower
dimensions while approximately preserving pairwise Euclidean distances. Random
matrices satisfying this lemma are called JL transforms (JLTs). Inspired by
existing $s$-hashing JLTs with exactly $s$ nonzero elements on each column, the
present work introduces an ensemble of sparse matrices encompassing so-called
$s$-hashing-like matrices whose expected number of nonzero elements on each
column is~$s$. The independence of the sub-Gaussian entries of these matrices
and the knowledge of their exact distribution play an important role in their
analyses. Using properties of independent sub-Gaussian random variables, these
matrices are demonstrated to be JLTs, and their smallest and largest singular
values are estimated non-asymptotically using a technique from geometric
functional analysis. As the dimensions of the matrix grow to infinity, these
singular values are proved to converge almost surely to fixed quantities (by
using the universal Bai--Yin law), and in distribution to the Gaussian
orthogonal ensemble (GOE) Tracy--Widom law after proper rescalings.
Understanding the behaviors of extreme singular values is important in general
because they are often used to define a measure of stability of matrix
algorithms. For example, JLTs were recently used in derivative-free
optimization algorithmic frameworks to select random subspaces in which are
constructed random models or poll directions to achieve scalability, whence
estimating their smallest singular value in particular helps determine the
dimension of these subspaces.",2022-12-30 18:19:17+00:00,http://arxiv.org/pdf/2212.14858v3
Disentangled Explanations of Neural Network Predictions by Finding Relevant Subspaces,"Pattarawat Chormai, Jan Herrmann, Klaus-Robert Müller, Grégoire Montavon","Explainable AI aims to overcome the black-box nature of complex ML models
like neural networks by generating explanations for their predictions.
Explanations often take the form of a heatmap identifying input features (e.g.
pixels) that are relevant to the model's decision. These explanations, however,
entangle the potentially multiple factors that enter into the overall complex
decision strategy. We propose to disentangle explanations by extracting at some
intermediate layer of a neural network, subspaces that capture the multiple and
distinct activation patterns (e.g. visual concepts) that are relevant to the
prediction. To automatically extract these subspaces, we propose two new
analyses, extending principles found in PCA or ICA to explanations. These novel
analyses, which we call principal relevant component analysis (PRCA) and
disentangled relevant subspace analysis (DRSA), maximize relevance instead of
e.g. variance or kurtosis. This allows for a much stronger focus of the
analysis on what the ML model actually uses for predicting, ignoring
activations or concepts to which the model is invariant. Our approach is
general enough to work alongside common attribution techniques such as Shapley
Value, Integrated Gradients, or LRP. Our proposed methods show to be
practically useful and compare favorably to the state of the art as
demonstrated on benchmarks and three use cases.",2022-12-30 18:04:25+00:00,http://arxiv.org/pdf/2212.14855v3
Complete Description of Measures Corresponding to Abelian Varieties over Finite Fields,"Nikolai S. Nadirashvili, Michael A. Tsfasman","We study probability measures corresponding to families of abelian varieties
over a finite field. These measures play an important role in the Tsfasman-
Vladuts theory of asymptotic zeta-functions defining completely the limit
zeta-function of the family. J.-P.Serre, using results of R.M.Robinson on
conjugate algebraic integers, described the possible set of measures than can
correspond to families of abelian varieties over a finite field. The problem
whether all such measures actually occur was left open. Moreover, Serre
supposed that not all such measures correspond to abelian varieties (for
example, the Lebesgue measure on a segment). Here we settle Serre's problem
proving that Serre conditions are sufficient, and thus describe completely the
set of measures corresponding to abelian varieties.",2022-12-30 18:02:05+00:00,http://arxiv.org/pdf/2212.14854v2
Particle method and quantization-based schemes for the simulation of the McKean-Vlasov equation,Yating Liu,"In this paper, we study three numerical schemes for the McKean-Vlasov
equation \[\begin{cases} \;dX_t=b(t, X_t, \mu_t) \, dt+\sigma(t, X_t, \mu_t) \,
dB_t,\: \\ \;\forall\, t\in[0,T],\;\mu_t \text{ is the probability distribution
of }X_t, \end{cases}\] where $X_0$ is a known random variable. Under the
assumption on the Lipschitz continuity of the coefficients $b$ and $\sigma$,
our first result proves the convergence rate of the particle method with
respect to the Wasserstein distance, which extends a previous work [BT97]
established in one-dimensional setting. In the second part, we present and
analyse two quantization-based schemes, including the recursive quantization
scheme (deterministic scheme) in the Vlasov setting, and the hybrid
particle-quantization scheme (random scheme, inspired by the $K$-means
clustering). Two examples are simulated at the end of this paper: Burger's
equation and the network of FitzHugh-Nagumo neurons in dimension 3.",2022-12-30 18:00:49+00:00,http://arxiv.org/pdf/2212.14853v2
An Analysis of Attention via the Lens of Exchangeability and Latent Variable Models,"Yufeng Zhang, Boyi Liu, Qi Cai, Lingxiao Wang, Zhaoran Wang","With the attention mechanism, transformers achieve significant empirical
successes. Despite the intuitive understanding that transformers perform
relational inference over long sequences to produce desirable representations,
we lack a rigorous theory on how the attention mechanism achieves it. In
particular, several intriguing questions remain open: (a) What makes a
desirable representation? (b) How does the attention mechanism infer the
desirable representation within the forward pass? (c) How does a pretraining
procedure learn to infer the desirable representation through the backward
pass?
  We observe that, as is the case in BERT and ViT, input tokens are often
exchangeable since they already include positional encodings. The notion of
exchangeability induces a latent variable model that is invariant to input
sizes, which enables our theoretical analysis.
  - To answer (a) on representation, we establish the existence of a sufficient
and minimal representation of input tokens. In particular, such a
representation instantiates the posterior distribution of the latent variable
given input tokens, which plays a central role in predicting output labels and
solving downstream tasks.
  - To answer (b) on inference, we prove that attention with the desired
parameter infers the latent posterior up to an approximation error, which is
decreasing in input sizes. In detail, we quantify how attention approximates
the conditional mean of the value given the key, which characterizes how it
performs relational inference over long sequences.
  - To answer (c) on learning, we prove that both supervised and
self-supervised objectives allow empirical risk minimization to learn the
desired parameter up to a generalization error, which is independent of input
sizes. Particularly, in the self-supervised setting, we identify a condition
number that is pivotal to solving downstream tasks.",2022-12-30 17:59:01+00:00,http://arxiv.org/pdf/2212.14852v3
Some identities on generalized harmonic numbers and generalized harmonic functions,"Dae san Kim, Hye Kyung Kim, Taekyun Kim","The harmonic numbers and generalized harmonic numbers appear frequently in
many diverse areas such as combinatorial problems, many expressions involving
special functions in analytic number theory and analysis of algorithms. The aim
of this paper is to derive some identities involving generalized harmonic
numbers and generalized harmonic functions from the beta functions F(x)= B(
x+1, n+1), ( n=0,1,2,..) using elementary methods.",2022-12-30 17:52:46+00:00,http://arxiv.org/pdf/2212.14850v1
Deterministic counting Lovász local lemma beyond linear programming,"Kun He, Chunyang Wang, Yitong Yin","We give a simple combinatorial algorithm to deterministically approximately
count the number of satisfying assignments of general constraint satisfaction
problems (CSPs). Suppose that the CSP has domain size $q=O(1)$, each constraint
contains at most $k=O(1)$ variables, shares variables with at most
$\Delta=O(1)$ constraints, and is violated with probability at most $p$ by a
uniform random assignment. The algorithm returns in polynomial time in an
improved local lemma regime: \[ q^2\cdot k\cdot p\cdot\Delta^5\le
C_0\quad\text{for a suitably small absolute constant }C_0. \] Here the key term
$\Delta^5$ improves the previously best known $\Delta^7$ for general CSPs
[JPV21b] and $\Delta^{5.714}$ for the special case of $k$-CNF [JPV21a, HSW21].
Our deterministic counting algorithm is a derandomization of the very recent
fast sampling algorithm in [HWY22]. It departs substantially from all previous
deterministic counting Lov\'{a}sz local lemma algorithms which relied on linear
programming, and gives a deterministic approximate counting algorithm that
straightforwardly derandomizes a fast sampling algorithm, hence unifying the
fast sampling and deterministic approximate counting in the same algorithmic
framework. To obtain the improved regime, in our analysis we develop a
refinement of the $\{2,3\}$-trees that were used in the previous analyses of
counting/sampling LLL. Similar techniques can be applied to the previous
LP-based algorithms to obtain the same improved regime and may be of
independent interests.",2022-12-30 17:47:43+00:00,http://arxiv.org/pdf/2212.14847v1
On the covariant Hamilton-Jacobi formulation of Maxwell's equations via the polysymplectic reduction,"Monika E. Pietrzyk, Cécile Barbachoux, Igor V. Kanatchikov, Joseph Kouneiher","The covariant Hamilton-Jacobi formulation of Maxwell's equations is derived
from the first-order (Palatini-like) Lagrangian using the analysis of
constraints within the De~Donder-Weyl covariant Hamiltonian formalism and the
corresponding polysymplectic reduction.",2022-12-30 17:44:44+00:00,http://arxiv.org/pdf/2212.14845v1
Identities for combinatorial sums involving trigonometric functions,"Horst Alzer, Semyon Yakubovich","Let $$ A_{m,n}(a)=\sum_{j=0}^m (-4)^j {m+j\choose 2j}\sum_{k=0}^{n-1}
\sin(a+2k\pi/n) \cos^{2j}(a+2k\pi/n) $$ and $$ B_{m,n}(a)=\sum_{j=0}^m (-4)^j
{m+j+1\choose 2j+1}\sum_{k=0}^{n-1} \sin(a+2k\pi/n) \cos^{2j+1}(a+2k\pi/n), $$
where $m\geq 0$ and $n\geq 1$ are integers and $a$ is a real number. We present
two proofs for the following results:
  (i) If $2m+1 \equiv 0 \, (\mbox{mod} \, n)$, then $$ A_{m,n}(a)=(-1)^m n
\sin((2m+1)a). $$ (ii) If $2m+1 \not\equiv 0 \, (\mbox{mod} \, n)$, then
$A_{m,n}(a)=0$.
  (iii) If $2(m+1) \equiv 0 \, (\mbox{mod} \, n)$, then $$ B_{m,n}(a)=(-1)^m
\frac{n}{2} \sin(2(m+1)a). $$ (iv) If $2(m+1) \not\equiv 0 \, (\mbox{mod} \,
n)$, then $B_{m,n}(a)=0$.",2022-12-30 17:40:31+00:00,http://arxiv.org/pdf/2212.14841v1
